"run","model","config","dataset","n_samples","q","tps","sps","eps","cps","time_per_sample_s","energy_per_sample_j","compute_per_sample_tflops","peak_vram_gib","score_per_energy","score_per_compute","timing_source","status_counts","gpu","code_commit","aux"
"illada_best","illada","best","mbpp","100","0.0","21.450293263387294","0.08379020806010662","317.80669535763644",,"11.934568765871227","3792.8858600000003",,"14.45526647567749","0.0",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.01,""complete_rate"":0.16,""executable_rate"":0.01,""structure_first_eligible_rate"":0.55,""pass_at_1"":0.0,""structure_first_eligible_ratio"":0.55,""structure_first_score"":0.273108946315058}"
"illada_best","illada","best","ruler","30","0.0",,,,,,,,,,,"unavailable","{""oom"":30}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.0,""complete_rate"":0.0,""accuracy_context_8192"":0.0,""accuracy_aggregation_context_8192"":0.0,""accuracy_multi_hop_context_8192"":0.0,""accuracy_niah_context_8192"":0.0,""accuracy_back_context_8192"":0.0,""accuracy_front_context_8192"":0.0,""accuracy_middle_context_8192"":0.0,""position_robustness_context_8192"":0.0}"
"illada_best","illada","best","structeval_t","100","0.06","12.828027337868102","0.050109481788547273","387.5306224553244",,"19.956302965171634","7733.678510000001",,"15.049146175384521","0.0001548264744082694",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.3,""complete_rate"":0.0,""format_valid_rate"":0.3,""complete_correct_rate"":0.0,""official_key_validation_score"":0.0,""official_render_score"":0.3,""structure_first_eligible_rate"":0.26,""content_progress"":0.5,""field_completion_rate"":0.0,""structure_progress"":0.31666666666666665,""final_eval_score"":0.06,""structure_first_eligible_ratio"":0.26,""structure_first_score"":0.5}"
"illada_best","illada","best","sudoku","100","0.0","17.097227705619396","0.06678604572507577","357.8548608812417",,"14.973187724221498","5358.22801",,"14.56003999710083","0.0",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.0,""complete_rate"":0.0,""exact_solve_rate"":0.0,""cell_accuracy"":0.0,""blank_cell_accuracy"":0.0,""constraint_satisfaction_rate"":0.0,""completion_rate"":0.0,""given_preservation_rate"":0.0,""conflict_rate"":1.0,""blank_cell_accuracy_easy"":0.0,""exact_solve_rate_easy"":0.0,""accuracy_easy"":0.0,""n_easy"":50.0,""blank_cell_accuracy_hard"":0.0,""exact_solve_rate_hard"":0.0,""accuracy_hard"":0.0,""n_hard"":50.0}"
"illada_fast","illada","fast","gsm8k","100","0.21","42.66153589694493","0.16664662459744115","323.2692880787216",,"6.000721601266414","1939.849",,"14.55483865737915","0.0006496132102374705",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.78,""complete_rate"":0.34}"
"illada_fast","illada","fast","mbpp","100","0.0","42.895618824493795","0.16756101103317889","316.6331591430649",,"5.967975448668003","1889.6589199999999",,"14.45526647567749","0.0",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.0,""complete_rate"":0.07,""executable_rate"":0.0,""structure_first_eligible_rate"":0.46,""pass_at_1"":0.0,""structure_first_eligible_ratio"":0.46,""structure_first_score"":0.3243584249948851}"
"illada_fast","illada","fast","ruler","30","0.0",,,,,,,,,,,"unavailable","{""oom"":30}","NVIDIA GeForce RTX 4090","3c7a6e080b768b726feccf5bf5286bd5741ae476","{""valid_rate"":0.0,""complete_rate"":0.0,""accuracy_context_8192"":0.0,""accuracy_aggregation_context_8192"":0.0,""accuracy_multi_hop_context_8192"":0.0,""accuracy_niah_context_8192"":0.0,""accuracy_back_context_8192"":0.0,""accuracy_front_context_8192"":0.0,""accuracy_middle_context_8192"":0.0,""position_robustness_context_8192"":0.0}"
"illada_fast","illada","fast","structeval_t","100","0.05600000000000001","25.664695289299278","0.1002527159738253","394.33356483126084",,"9.97479210698977","3933.39533",,"15.049146175384521","0.00014201175094989175",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.28,""complete_rate"":0.0,""format_valid_rate"":0.28,""complete_correct_rate"":0.0,""official_key_validation_score"":0.0,""official_render_score"":0.28,""structure_first_eligible_rate"":0.26,""content_progress"":0.5,""field_completion_rate"":0.0,""structure_progress"":0.3233333333333333,""final_eval_score"":0.05600000000000001,""structure_first_eligible_ratio"":0.26,""structure_first_score"":0.5}"
"illada_fast","illada","fast","sudoku","100","0.0","34.19892886874384","0.13358956589353063","354.6914000761452",,"7.4856145636178555","2655.08311",,"14.56003999710083","0.0",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.0,""complete_rate"":0.0,""exact_solve_rate"":0.0,""cell_accuracy"":0.0,""blank_cell_accuracy"":0.0,""constraint_satisfaction_rate"":0.0,""completion_rate"":0.0,""given_preservation_rate"":0.0,""conflict_rate"":1.0,""blank_cell_accuracy_easy"":0.0,""exact_solve_rate_easy"":0.0,""accuracy_easy"":0.0,""n_easy"":50.0,""blank_cell_accuracy_hard"":0.0,""exact_solve_rate_hard"":0.0,""accuracy_hard"":0.0,""n_hard"":50.0}"
"qwen3_4b","qwen3_4b","ar-baseline","gsm8k","100","0.59","23.616072084185117","0.11247891066958048","112.01208157310478",,"8.890555518781767","995.84963",,"7.7555742263793945","0.005267288954137826",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","900f946b858be9d3a9467f32b0110492cef5f54a","{""valid_rate"":0.98,""complete_rate"":0.35}"
"qwen3_4b","qwen3_4b","ar-baseline","hellobench","20","0.49209352277704904","23.30410069488675","0.007978260735338416","115.15737813541054",,"125.34060156377964","14433.895050000001",,"11.23102855682373","0.0042732261774700115",,"measured","{""success"":20}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":1.0,""complete_rate"":0.35,""length_compliance_rate"":0.35,""corrupt_text_issue_rate"":0.0,""objective_repetition_score"":0.4583870708518899,""prompt_echo_issue_rate"":0.0,""refusal_issue_rate"":0.0,""major_issue_free_rate"":0.45,""repeated_segment_loop_issue_rate"":0.4,""severe_underlength_issue_rate"":0.05,""output_word_count"":2380.95,""length_ratio"":0.82005,""major_issue_count"":0.95,""repeated_segment_fraction"":0.17927082994198784,""empty_output_issue_rate"":0.0,""seq_rep_4"":0.2838119549734816,""objective_segment_score"":0.6536011972588814,""severe_overlength_issue_rate"":0.0,""objective_length_score"":0.7858,""high_repetition_issue_rate"":0.5,""objective_quality_score"":0.49209352277704904,""objective_quality_2000_words"":0.5403572855680061,""length_compliance_2000_words"":0.5,""seq_rep_4_2000_words"":0.24488214285393348,""major_issue_free_2000_words"":0.5,""mean_output_words_2000_words"":1798.5,""objective_quality_4000_words"":0.443829759986092,""length_compliance_4000_words"":0.2,""seq_rep_4_4000_words"":0.32274176709302976,""major_issue_free_4000_words"":0.4,""mean_output_words_4000_words"":2963.4,""long_output_quality_retention"":0.8213635160291259,""sample_count_2000_words"":10.0,""generation_success_rate_2000_words"":1.0,""timed_sample_count_2000_words"":10.0,""generation_time_mean_seconds_2000_words"":97.1963017962873,""generation_time_median_seconds_2000_words"":101.54069348284975,""generation_time_min_seconds_2000_words"":62.49757757689804,""generation_time_max_seconds_2000_words"":120.09884079452604,""generation_time_mean_hours_2000_words"":0.026998972721190916,""mean_generated_tokens_2000_words"":2265.3,""sample_count_4000_words"":10.0,""generation_success_rate_4000_words"":1.0,""timed_sample_count_4000_words"":10.0,""generation_time_mean_seconds_4000_words"":153.48490133127197,""generation_time_median_seconds_4000_words"":153.85185824288055,""generation_time_min_seconds_4000_words"":98.88451960030943,""generation_time_max_seconds_4000_words"":224.2548205628991,""generation_time_mean_hours_4000_words"":0.042634694814242216,""mean_generated_tokens_4000_words"":3576.6}"
"qwen3_4b","qwen3_4b","ar-baseline","mbpp","100","0.06","23.47758480181668","0.1029944496679828","111.82490024833407",,"9.709261064296589","1085.73715",,"7.740185737609863","0.0005365531278521651",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.11,""complete_rate"":0.86,""structure_first_eligible_rate"":0.99,""executable_rate"":0.11,""pass_at_1"":0.06,""structure_first_eligible_ratio"":0.99,""structure_first_score"":0.0583248741629242}"
"qwen3_4b","qwen3_4b","ar-baseline","ruler","60","0.3","8.963834270045444","0.19868121765893115","359.60246061271494",,"5.033188399905339","1809.9469333333332",,"16.217159271240234","0.0008342545807079288",,"measured","{""success"":60}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":1.0,""complete_rate"":1.0,""partial_match_rate"":0.3222222222222222,""accuracy_context_8192"":0.6,""accuracy_aggregation_context_8192"":0.5,""accuracy_multi_hop_context_8192"":0.4,""accuracy_niah_context_8192"":0.9,""accuracy_back_context_8192"":0.7,""accuracy_front_context_8192"":0.5,""accuracy_middle_context_8192"":0.6,""position_robustness_context_8192"":0.7142857142857143,""accuracy_context_40960"":0.0,""accuracy_aggregation_context_40960"":0.0,""accuracy_multi_hop_context_40960"":0.0,""accuracy_niah_context_40960"":0.0,""accuracy_back_context_40960"":0.0,""accuracy_front_context_40960"":0.0,""accuracy_middle_context_40960"":0.0,""position_robustness_context_40960"":0.0,""context_retention"":0.0}"
"qwen3_4b","qwen3_4b","ar-baseline","structeval_t","100","0.5803","23.54966812145704","0.10959450912815077","113.25137651285706",,"9.124544723592699","1033.36725",,"7.840109348297119","0.005123999529790443",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.67,""complete_rate"":0.34,""format_valid_rate"":0.67,""complete_correct_rate"":0.2,""structure_first_eligible_rate"":0.61,""official_render_score"":0.67,""official_key_validation_score"":0.5577223916434443,""field_completion_rate"":0.5577223916434443,""content_progress"":0.6458044849886956,""structure_progress"":0.5383299741194478,""final_eval_score"":0.5803,""structure_first_eligible_ratio"":0.61,""structure_first_score"":0.40179116517976116}"
"qwen3_4b","qwen3_4b","ar-baseline","sudoku","100","0.008016808728153267","23.399780102604662","0.09140539102579946","112.19717514463171",,"10.940273749474436","1227.46781",,"7.755986213684082","7.14528571492011E-05",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.97,""complete_rate"":0.0,""blank_cell_accuracy"":0.008016808728153267,""given_preservation_rate"":0.4453137190798973,""constraint_satisfaction_rate"":0.867037037037037,""cell_accuracy"":0.20555555555555557,""conflict_rate"":0.13296296296296298,""completion_rate"":0.49135802469135803,""exact_solve_rate"":0.0,""blank_cell_accuracy_easy"":0.005,""exact_solve_rate_easy"":0.0,""accuracy_easy"":0.0,""n_easy"":50.0,""blank_cell_accuracy_hard"":0.011033617456306533,""exact_solve_rate_hard"":0.0,""accuracy_hard"":0.0,""n_hard"":50.0}"
